country,year,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct
India,2002,0,0,-4.5
India,2003,100,24.4,2.5
India,2004,0,101.2,46.3
India,2005,0,14.5,-1.6
India,2006,-50,55.9,18.7
India,2007,500,25.1,11.1
India,2008,0,23.1,-2
India,2009,33.3,13.1,-4.1
India,2010,37.5,19.6,6.2
India,2011,654.5,23.1,21.5
India,2012,153,14.5,-5.9
India,2013,63.3,9.4,13.1
India,2014,43.1,11.5,8.5
India,2015,44.4,-2.1,-3.4
India,2016,72.1,32.7,5.1
India,2017,83.3,21.1,12.2
India,2018,67.5,14.6,13.3
India,2019,0,5,10.1
India,2020,41.3,-4.5,5.4
India,2021,24,12.7,6.2
India,2022,46.2,2.9,15.5
India,2023,20.3,17.2,1.5
India,2024,24,-0.7,9
India,2025,37,27.5,24.2
Indonesia,2000,,,
Indonesia,2001,,,13.2
Indonesia,2002,,,-5.4
Indonesia,2003,,,-5.6
Indonesia,2004,,,5.8
Indonesia,2005,,,8.1
Indonesia,2006,,,-6.5
Indonesia,2007,,,14.7
Indonesia,2008,,,8.4
Indonesia,2009,,,1.7
Indonesia,2010,,,29.3
Indonesia,2011,,,-12
Indonesia,2012,,,2.1
Indonesia,2013,,,14.1
Indonesia,2014,0,,-3.1
Indonesia,2015,0,,-2.5
Indonesia,2016,100,,17.9
Indonesia,2017,50,-100,9.1
Indonesia,2018,200,,12
Indonesia,2019,33.3,152.6,-0.7
Indonesia,2020,41.7,-2.1,10.1
Indonesia,2021,11.8,-6.4,6.3
Indonesia,2022,131.6,-18.2,16.4
Indonesia,2023,61.4,33.3,-0.3
Indonesia,2024,90.1,-2.1,3.1
Iran,2000,,,
Iran,2001,,-25,8.6
Iran,2002,,0,93.7
Iran,2003,,0,19.7
Iran,2004,,66.7,24.5
Iran,2005,,40,21.2
Iran,2006,,85.7,28.4
Iran,2007,,7.7,-2.9
Iran,2008,,42.9,-57.8
Iran,2009,,15,-9
Iran,2010,,-26.1,50.1
Iran,2011,,23.5,4.6
Iran,2012,,33.3,17.3
Iran,2013,,-21.4,16.1
Iran,2014,,-9.1,-0.7
Iran,2015,,-30,-9.1
Iran,2016,,14.3,16.3
Iran,2017,,100,13.2
Iran,2018,144.4,134.4,-38.7
Iran,2019,131.8,-4,224.2
Iran,2020,13.7,56.9,-29
Iran,2021,6.9,0,-37.4
Iran,2022,0,0,1.1
Iran,2023,9.7,7.1,56.8
Iran,2024,32.4,3.3,-14.9
Iran,2025,0,0,-27.7
Iraq,2000,,,
Iraq,2001,,,1.6
Iraq,2002,,,-16.1
Iraq,2003,,,-17.3
Iraq,2004,,,14
Iraq,2005,,,1124.5
Iraq,2006,,,1.7
Iraq,2007,,,-5.9
Iraq,2008,,,-39.4
Iraq,2009,,,-7.2
Iraq,2010,,,47.7
Iraq,2011,,,-28.7
Iraq,2012,,,29.1
Iraq,2013,,,9.6
Iraq,2014,20,,-37.8
Iraq,2015,0,,-12.7
Iraq,2016,0,,31.4
Iraq,2017,0,,-34.7
Iraq,2018,0,,-16.1
Iraq,2019,0,,167
Iraq,2020,533.3,,-9.6
Iraq,2021,0,,-17.8
Iraq,2022,0,,-18.8
Iraq,2023,0,,-41.9
Iraq,2024,13.2,,38.1
Israel,2000,,,
Israel,2001,,,-33.3
Israel,2002,,0,50
Israel,2003,,0,33.3
Israel,2004,,0,0
Israel,2005,,0,0
Israel,2006,,0,-50
Israel,2007,,0,0
Israel,2008,,0,100
Israel,2009,,0,125
Israel,2010,250,0,88.9
Israel,2011,171.4,0,76.5
Israel,2012,94.7,0,63.3
Israel,2013,32.4,0,16.3
Israel,2014,79.6,0,68.4
Israel,2015,27.3,0,27.1
Israel,2016,37.5,400,39.3
Israel,2017,-1.9,260,-0.6
Israel,2018,4,0,11.2
Israel,2019,104.5,5.6,86.7
Israel,2020,27.7,5.3,26.5
Israel,2021,34.6,-10,31.1
Israel,2022,27.7,61.1,28.4
Israel,2023,21.4,58.6,22.2
Israel,2024,22.9,0,21.6
Israel,2025,26.2,0,25.2
Italy,2000,,,
Italy,2001,0,110.7,6.8
Italy,2002,0,18.6,-11.1
Italy,2003,0,4.3,-3
Italy,2004,50,26,15
Italy,2005,0,27.2,-10.1
Italy,2006,33.3,26.9,4.6
Italy,2007,0,35.7,-5.8
Italy,2008,375,20.6,21.9
Italy,2009,257.9,34.6,19.1
Italy,2010,180.9,39.4,11.1
Italy,2011,465.4,8,7.8
Italy,2012,74.6,36.1,11.2
Italy,2013,14.5,11.1,21.4
Italy,2014,3.3,1.9,7.8
Italy,2015,2.8,-2.2,-9.8
Italy,2016,-3.7,19.2,-0.8
Italy,2017,10.3,0.3,-3.8
Italy,2018,-7.1,-0.1,10.1
Italy,2019,4.6,14,1.2
Italy,2020,5.3,-7.1,0.9
Italy,2021,0.4,11.6,-0.5
Italy,2022,12.3,-2.1,-13.6
Italy,2023,9.2,15.1,16
Italy,2024,17.2,-5.8,15.2
Italy,2025,24,-3.3,-3.8
Japan,2000,,,
Japan,2001,47.1,127.3,-2.7
Japan,2002,38,64,0.3
Japan,2003,37.7,102.4,13.7
Japan,2004,33.7,73.5,0.3
Japan,2005,28.3,32.6,-8.6
Japan,2006,22.7,11.5,11.4
Japan,2007,15.5,28.6,-11.1
Japan,2008,12.1,7.3,0.2
Japan,2009,17.8,16.7,-4.6
Japan,2010,30.5,14.6,21.5
Japan,2011,36.7,13.5,-4
Japan,2012,35.5,6.1,-1.9
Japan,2013,75.2,8.5,8.3
Japan,2014,82.4,-2.3,11.1
Japan,2015,46.7,4.2,15
Japan,2016,25.4,2.3,-1.5
Japan,2017,24.7,16.5,7.6
Japan,2018,13.3,18.5,7.4
Japan,2019,10.1,1.2,0.6
Japan,2020,12.6,12.7,9.4
Japan,2021,10.9,13.4,7.8
Japan,2022,8.2,-1.3,2.4
Japan,2023,5.8,5.7,4.5
Japan,2024,0.4,15.9,4.6
Japan,2025,4.5,11.4,4.1
Kazakhstan,2000,,,
Kazakhstan,2001,,,7.3
Kazakhstan,2002,,,10
Kazakhstan,2003,,,-3
Kazakhstan,2004,,,-6.5
Kazakhstan,2005,,,-2.5
Kazakhstan,2006,,,-1.1
Kazakhstan,2007,,,5.1
Kazakhstan,2008,,,-8.7
Kazakhstan,2009,,,-7.8
Kazakhstan,2010,,,16.6
Kazakhstan,2011,,,-1.7
Kazakhstan,2012,,,-3
Kazakhstan,2013,,,1.2
Kazakhstan,2014,,,7
Kazakhstan,2015,,1200,14.3
Kazakhstan,2016,80,107.7,26.8
Kazakhstan,2017,0,25.9,-2.8
Kazakhstan,2018,55.6,14.7,-6.3
Kazakhstan,2019,178.6,82.1,1.6
Kazakhstan,2020,217.9,45.1,7.7
Kazakhstan,2021,31.5,69.9,5.4
Kazakhstan,2022,8.6,32,5.5
Kazakhstan,2023,5.6,63.6,8.9
Kazakhstan,2024,0,29.9,24.7
Kazakhstan,2025,9.1,18.7,1.9
Kuwait,2000,,,
Kuwait,2001,,,
Kuwait,2002,,,
Kuwait,2003,,,
Kuwait,2004,,,
Kuwait,2005,,,
Kuwait,2006,,,
Kuwait,2007,,,
Kuwait,2008,,,
Kuwait,2009,,,
Kuwait,2010,,,
Kuwait,2011,,,
Kuwait,2012,,,
Kuwait,2013,,,
Kuwait,2014,,0,0
Kuwait,2015,,0,0
Kuwait,2016,,0,100
Kuwait,2017,0,200,100
Kuwait,2018,400,33.3,125
Kuwait,2019,20,0,11.1
Kuwait,2020,0,-25,-10
Kuwait,2021,133.3,133.3,133.3
Kuwait,2022,28.6,2357.1,804.8
Kuwait,2023,5.6,0,0.5
Kuwait,2024,10.5,8.1,8.4
Kuwait,2025,0,0,0
Malaysia,2000,,,
Malaysia,2001,,,-12.2
Malaysia,2002,,,-12.5
Malaysia,2003,,,-5.2
Malaysia,2004,,,11.6
Malaysia,2005,,,7.3
Malaysia,2006,,,5.2
Malaysia,2007,,,-3.2
Malaysia,2008,,,28.1
Malaysia,2009,,,-3.8
Malaysia,2010,,,-8
Malaysia,2011,,,26
Malaysia,2012,,,12.1
Malaysia,2013,1300,,21.2
Malaysia,2014,64.3,,9.7
Malaysia,2015,17.4,,4.4
Malaysia,2016,14.8,,41.2
Malaysia,2017,6.5,,32.5
Malaysia,2018,90.9,,1.3
Malaysia,2019,131.7,,1.7
Malaysia,2020,41.1,,6.2
Malaysia,2021,11.7,,10.3
Malaysia,2022,19.6,,6
Malaysia,2023,17.8,,0.6
Malaysia,2024,27.2,,12.1
Malaysia,2025,9.5,,2.9
Mexico,2000,,,
Mexico,2001,0,0,-12
Mexico,2002,0,0,-10.8
Mexico,2003,0,0,-13.3
Mexico,2004,0,0,21
Mexico,2005,0,0,10.5
Mexico,2006,0,150,5.9
Mexico,2007,0,400,-5.7
Mexico,2008,100,0,32.2
Mexico,2009,50,140,-26.4
Mexico,2010,0,106.7,33.2
Mexico,2011,33.3,33.1,-1.2
Mexico,2012,75,123.6,-6.2
Mexico,2013,57.1,13.3,-6.8
Mexico,2014,100,53.8,33.7
Mexico,2015,-9.1,36.1,-10.1
Mexico,2016,25,18.6,1.5
Mexico,2017,376,2.3,3.7
Mexico,2018,169.7,17.1,8.8
Mexico,2019,210.3,34.5,4.1
Mexico,2020,59,17.8,20.6
Mexico,2021,27.5,7,18.3
Mexico,2022,0.7,-2.6,1.3
Mexico,2023,14.7,0.8,-14.3
Mexico,2024,10.2,-4.6,5.2
Mexico,2025,2.4,8.3,9.9
Netherlands,2000,,,
Netherlands,2001,0,0,11.4
Netherlands,2002,100,14.5,20.2
Netherlands,2003,50,38.9,-0.5
Netherlands,2004,0,41.7,33.8
Netherlands,2005,33.3,10.7,40.8
Netherlands,2006,0,32.4,8
